Configuration,InternVL2-1B,InternVL2_5-1B,Phi-3-Vision,llava-onevision-qwen2-0.5b-ov-hf
original,0.362,0.428,0.426,0.0
grid_1x2_row1_col1,0.356,0.382,0.42,0.0
grid_1x2_row1_col2,0.384,0.376,0.416,0.0
grid_2x1_row1_col1,0.378,0.382,0.408,0.0
grid_2x1_row2_col1,0.374,0.386,0.422,0.0
grid_2x2_row1_col1,0.358,0.384,0.424,0.0
grid_2x2_row1_col2,0.378,0.376,0.41,0.0
grid_2x2_row2_col1,0.366,0.378,0.43,0.0
grid_2x2_row2_col2,0.386,0.37,0.422,0.0
grid_3x3_row1_col1,0.366,0.374,0.414,0.0
grid_3x3_row1_col2,0.386,0.354,0.416,0.0
grid_3x3_row1_col3,0.376,0.374,0.42,0.0
grid_3x3_row2_col1,0.38,0.386,0.422,0.0
grid_3x3_row2_col2,0.368,0.374,0.398,0.0
grid_3x3_row2_col3,0.39,0.356,0.434,0.0
grid_3x3_row3_col1,0.372,0.376,0.428,0.0
grid_3x3_row3_col2,0.376,0.376,0.422,0.0
grid_3x3_row3_col3,0.384,0.376,0.424,0.0
